idLinea,idPedido,referenciaProduto,descripcionProducto,categoria,costeUnitario,precioVentaUnitario,unidades,fechaPedido,zonaComercial,estado
1,101,PROD-001,Laptop de 15 pulgadas,Electrónica,450.00,799.99,5,2026-01-15,1,completado
2,101,PROD-002,Ratón inalámbrico,Accesorios,8.50,24.99,20,2026-01-15,1,completado
3,102,PROD-003,Teclado mecánico,Accesorios,35.00,99.99,3,2026-01-16,2,completado
4,102,PROD-004,Monitor 27 pulgadas,Electrónica,150.00,349.99,2,2026-01-16,2,completado
5,103,PROD-005,Diadema Bluetooth,Audio,25.00,79.99,8,2026-01-17,3,pendiente
6,103,PROD-006,Tarjeta de memoria SD,Almacenamiento,12.00,34.99,15,2026-01-17,3,pendiente
7,104,PROD-007,Webcam 4K,Accesorios,60.00,159.99,4,2026-01-18,1,completado
8,105,PROD-008,Cable HDMI,Accesorios,3.00,12.99,50,2026-01-19,2,completado
9,105,PROD-001,Laptop de 15 pulgadas,Electrónica,450.00,799.99,2,2026-01-19,2,cancelado
10,106,PROD-009,Adaptador USB-C,Accesorios,5.00,19.99,30,2026-01-20,3,completado
11,107,PROD-010,Ventilador para portátil,Accesorios,15.00,39.99,10,2026-01-21,1,completado
12,107,PROD-003,Teclado mecánico,Accesorios,35.00,99.99,5,2026-01-21,1,completado
13,108,PROD-004,Monitor 27 pulgadas,Electrónica,150.00,349.99,1,2026-01-22,2,pendiente
14,109,PROD-005,Diadema Bluetooth,Audio,25.00,79.99,12,2026-01-23,3,completado
15,110,PROD-011,Mochila para portátil,Accesorios,20.00,49.99,7,2026-01-24,1,completado
16,110,PROD-002,Ratón inalámbrico,Accesorios,8.50,24.99,25,2026-01-24,1,completado
17,111,PROD-012,Base refrigerante,Accesorios,30.00,89.99,3,2026-01-25,2,completado
18,112,PROD-006,Tarjeta de memoria SD,Almacenamiento,12.00,34.99,20,2026-01-26,3,completado
19,113,PROD-007,Webcam 4K,Accesorios,60.00,159.99,2,2026-01-27,1,pendiente
20,114,PROD-010,Ventilador para portátil,Accesorios,15.00,39.99,6,2026-01-28,2,completado
21,114,PROD-001,Laptop de 15 pulgadas,Electrónica,450.00,799.99,1,2026-01-28,2,completado
22,115,PROD-013,Disco duro externo,Almacenamiento,80.00,199.99,4,2026-01-29,3,completado
23,116,PROD-014,Impresora multifunción,Electrónica,120.00,299.99,2,2026-01-30,1,completado
24,117,PROD-015,Proyector portátil,Electrónica,200.00,499.99,1,2026-01-31,2,pendiente
25,118,PROD-016,Soporte para monitor,Accesorios,10.00,29.99,10,2026-02-01,3,completado
26,119,PROD-017,Hub USB 3.0,Accesorios,25.00,59.99,5,2026-02-02,1,completado
27,120,PROD-018,Alfombrilla de ratón,Accesorios,5.00,14.99,30,2026-02-03,2,completado
28,120,PROD-002,Ratón inalámbrico,Accesorios,8.50,24.99,10,2026-02-03,2,completado
29,121,PROD-019,Estación de acoplamiento,Accesorios,50.00,129.99,2,2026-02-04,3,completado
30,122,PROD-020,Memoria RAM 16GB,Almacenamiento,70.00,149.99,4,2026-02-05,1,completado
31,123,PROD-021,SSD 1TB,Almacenamiento,100.00,249.99,3,2026-02-06,2,completado
32,124,PROD-022,Teclado ergonómico,Accesorios,40.00,109.99,6,2026-02-07,3,completado
33,125,PROD-023,Mousepad RGB,Accesorios,15.00,39.99,20,2026-02-08,1,completado
34,126,PROD-024,Cámara de seguridad,Electrónica,80.00,199.99,2,2026-02-09,2,completado
35,127,PROD-025,Router Wi-Fi 6,Electrónica,100.00,249.99,3,2026-02-10,3,completado
36,128,PROD-026,Disco duro interno,Almacenamiento,60.00,149.99,5,2026-02-11,1,completado
37,129,PROD-027,Monitor ultrawide,Electrónica,200.00,499.99,1,2026-02-12,2,pendiente
38,130,PROD-028,Teclado inalámbrico,Accesorios,30.00,79.99,4,2026-02-13,3,completado
39,131,PROD-029,Cargador portátil,Accesorios,20.00,49.99,10,2026-02-14,1,completado
40,132,PROD-030,Soporte para laptop,Accesorios,25.00,59.99,5,2026-02-15,2,completado
41,132,PROD-002,Ratón inalámbrico,Accesorios,8.50,24.99,15,2026-02-15,2,completado
42,133,PROD-031,Base para monitor,Accesorios,15.00,39.99,8,2026-02-16,3,completado
43,134,PROD-032,Teclado para juegos,Accesorios,50.00,129.99,3,2026-02-17,1,completado
